time,latitude[unit="degrees_north"],longitude[unit="degrees_east"],band_6[unit="1"],band_7[unit="1"],band_4[unit="1"]
2013-03-26T01:44:16.825Z,-18.8,123.0,-999.0,-999.0,-999.0
2013-03-26T01:44:40.664Z,-18.8,123.0,-999.0,-999.0,-999.0
2013-04-15T01:51:20.207Z,-18.8,123.0,3784.0,2930.0,1879.0
2013-04-15T01:51:44.145Z,-18.8,123.0,-999.0,-999.0,-999.0
2013-04-24T01:45:06.111Z,-18.8,123.0,-999.0,-999.0,-999.0
2013-04-24T01:45:30.055Z,-18.8,123.0,-999.0,-999.0,-999.0
2013-05-01T01:51:09.559Z,-18.8,123.0,-999.0,-999.0,-999.0
2013-05-26T01:45:23.116Z,-18.8,123.0,-999.0,-999.0,-999.0
2013-05-26T01:45:47.049Z,-18.8,123.0,-999.0,-999.0,-999.0
2013-06-11T01:45:20.457Z,-18.8,123.0,-999.0,-999.0,-999.0
2013-06-11T01:45:44.393Z,-18.8,123.0,-999.0,-999.0,-999.0
2013-06-18T01:51:27.541Z,-18.8,123.0,3369.0,2650.0,1694.0
2013-06-18T01:51:51.472Z,-18.8,123.0,-999.0,-999.0,-999.0
2013-06-27T01:45:16.815Z,-18.8,123.0,-999.0,-999.0,-999.0
2013-06-27T01:45:40.752Z,-18.8,123.0,-999.0,-999.0,-999.0
2013-07-04T01:51:05.656Z,-18.8,123.0,-999.0,-999.0,-999.0
2013-07-04T01:51:29.589Z,-18.8,123.0,3346.0,2573.0,1530.0
2013-07-04T01:51:53.527Z,-18.8,123.0,-999.0,-999.0,-999.0
2013-07-11T01:57:17.054Z,-18.8,123.0,-999.0,-999.0,-999.0
2013-07-11T01:57:40.987Z,-18.8,123.0,-999.0,-999.0,-999.0
2013-07-13T01:45:19.185Z,-18.8,123.0,-999.0,-999.0,-999.0
2013-07-13T01:45:43.113Z,-18.8,123.0,-999.0,-999.0,-999.0
2013-07-20T01:51:04.427Z,-18.8,123.0,-999.0,-999.0,-999.0
2013-07-20T01:51:28.362Z,-18.8,123.0,3332.0,2463.0,1524.0
2013-07-20T01:51:52.297Z,-18.8,123.0,-999.0,-999.0,-999.0
2013-07-27T01:57:16.693Z,-18.8,123.0,-999.0,-999.0,-999.0
2013-07-27T01:57:40.629Z,-18.8,123.0,-999.0,-999.0,-999.0
